,País Origem,País Destino,Quantidade_l,Valor_us
0,Brasil,Afeganistão,11,46
1,Brasil,"Alemanha, República Democrática",909051,2546394
2,Brasil,Angola,168868,576189
3,Brasil,Anguilla,0,0
4,Brasil,Antilhas Holandesas,97002,142915
5,Brasil,Antígua e Barbuda,2104,7738
6,Brasil,Argentina,51012,221684
7,Brasil,Aruba,1350,2435
8,Brasil,Austrália,274654,469248
9,Brasil,Bahamas,14101,76628
10,Brasil,Bangladesh,12,133
11,Brasil,Barbados,615,2552
12,Brasil,Barein,1771,5855
13,Brasil,Belice,9,29
14,Brasil,Benin,15399,37765
15,Brasil,Bolívia,204421,290118
16,Brasil,Brasil,2535,998
17,Brasil,Bulgária,122,1610
18,Brasil,Bélgica,402667,1395226
19,Brasil,Bósnia-Herzegovina,45,52
20,Brasil,Cabo Verde,12625,50363
21,Brasil,Camarões,1749,7654
22,Brasil,Canadá,195491,1097417
23,Brasil,Catar,13339,81608
24,Brasil,"Cayman, Ilhas",425,1962
25,Brasil,Chile,23205,70572
26,Brasil,China,2509458,4746525
27,Brasil,Chipre,6805,18096
28,Brasil,Cingapura,27567,90610
29,Brasil,"Cocos (Keeling), Ilhas",26,60
30,Brasil,Colômbia,43886,88017
31,Brasil,Comores,9,25
32,Brasil,Congo,360,570
33,Brasil,"Coreia, Republica Sul",3965,15479
34,Brasil,Costa Rica,55,200
35,Brasil,Costa do Marfim,0,0
36,Brasil,Croácia,55,607
37,Brasil,Cuba,271044,304612
38,Brasil,Curaçao,191119,320683
39,Brasil,Dinamarca,78104,375575
40,Brasil,Dominica,1945,2857
41,Brasil,El Salvador,55,100
42,Brasil,Emirados Arabes Unidos,17312,144843
43,Brasil,Equador,3917,4037
44,Brasil,"Eslovaca, Republica",585,16063
45,Brasil,Espanha,1993000,3808552
46,Brasil,Estados Unidos,3563355,9684567
47,Brasil,Estônia,30071,90830
48,Brasil,Filipinas,14222,31397
49,Brasil,Finlândia,86763,537432
50,Brasil,França,317553,720359
51,Brasil,Gana,102178,139681
52,Brasil,Gibraltar,792,2953
53,Brasil,Granada,5610,7914
54,Brasil,Grécia,9480,26256
55,Brasil,Guatemala,20247,43189
56,Brasil,Guiana,6633,19890
57,Brasil,Guiana Francesa,112,50
58,Brasil,Guine Bissau,48,90
59,Brasil,Guine Equatorial,20684,81903
60,Brasil,Haiti,1791603,2327208
61,Brasil,Honduras,176,610
62,Brasil,Hong Kong,149132,453894
63,Brasil,Hungria,627,4686
64,Brasil,Ilha de Man,301,1382
65,Brasil,Ilhas Virgens,0,0
66,Brasil,India,318,1390
67,Brasil,Indonésia,5,6
68,Brasil,Iraque,0,0
69,Brasil,Irlanda,16970,104717
70,Brasil,Irã,184,412
71,Brasil,Itália,25597,141298
72,Brasil,Jamaica,0,0
73,Brasil,Japão,1181692,2377716
74,Brasil,Jordânia,12,52
75,Brasil,Letônia,387,3723
76,Brasil,Libéria,26953,98667
77,Brasil,Luxemburgo,66541,369934
78,Brasil,Líbano,0,0
79,Brasil,Malta,14222,50749
80,Brasil,Malásia,63,143
81,Brasil,"Marshall, Ilhas",30353,87600
82,Brasil,Mauritânia,9,85
83,Brasil,Montenegro,32,131
84,Brasil,Moçambique,383,1927
85,Brasil,México,6326,43837
86,Brasil,Namibia,340,722
87,Brasil,Nicaragua,24,24
88,Brasil,Nigéria,161641,258460
89,Brasil,Noruega,34355,262452
90,Brasil,Nova Caledônia,7227,11924
91,Brasil,Nova Zelândia,14030,75209
92,Brasil,Omã,194,670
93,Brasil,Panamá,62156,162516
94,Brasil,Paraguai,29214770,38719031
95,Brasil,Países Baixos,1236154,3791611
96,Brasil,Peru,24668,53789
97,Brasil,Polônia,154475,611080
98,Brasil,Porto Rico,0,0
99,Brasil,Portugal,419586,581419
100,Brasil,Quênia,8311,33767
101,Brasil,Reino Unido,1239551,4711464
102,Brasil,República Dominicana,0,0
103,Brasil,Rússia,39029799,25504484
104,Brasil,Senegal,0,0
105,Brasil,Serra Leoa,23884,41904
106,Brasil,Singapura,8826,29780
107,Brasil,Suazilândia,10,24
108,Brasil,Suriname,27101,46390
109,Brasil,Suécia,98535,348397
110,Brasil,Suíça,152894,906264
111,Brasil,São Tomé e Príncipe,2184,2357
112,Brasil,São Vicente e Granadinas,28,99
113,Brasil,Tailândia,2436,6872
114,Brasil,Taiwan (FORMOSA),76106,277050
115,Brasil,Tanzânia,0,0
116,Brasil,"Tcheca, República",66529,356395
117,Brasil,Togo,24367,35420
118,Brasil,Trinidade Tobago,891,4320
119,Brasil,Tunísia,0,0
120,Brasil,Turquia,1236,1740
121,Brasil,Tuvalu,2,4
122,Brasil,Uruguai,792595,1219878
123,Brasil,Vanuatu,18,31
124,Brasil,Venezuela,55515,88828
125,Brasil,Vietnã,9799,13013
126,Brasil,África do Sul,30,116
127,Brasil,Áustria,681,5432
